Country,work_year,experience_level,employment_type,job_title,salary_in_usd,remote_ratio,company_size,Cost of Living Index,Rent Index,Local Purchasing Power Index,Cost of Living Plus Rent Index,GDP,log_salary,experience_numeric,salary_k,adjusted_salary,rent_burden_ratio,gdp_to_power_ratio,role_category,role_numeric,remote_Onsite,remote_Remote,company_size_num,country_France,country_Germany,country_Greece,country_India,country_Japan,country_Netherlands,country_Other,country_Spain,country_United Kingdom,country_United States,exp_x_role,exp_x_remote,size_x_gdp
United States,2021,Entry,FT,Data Scientist,58000,50,L,70.4,41.7,142.3,56.6,71307.4017277218,10.968215530759236,1,58.0,823.86,0.737,501.106,AI,4,False,False,3,False,False,False,False,False,False,False,False,False,True,4,0.5,213922.20518316538
Spain,2021,Senior,FT,AI Scientist,55000,100,L,47.3,22.9,92.1,35.6,30799.4775937775,10.915106645867503,3,55.0,1162.79,0.643,334.413,AI,4,False,True,3,False,False,False,False,False,False,False,True,False,False,12,3.0,92398.4327813325
Türkiye,2021,Senior,FT,Data Scientist,20171,50,L,63.606218487394955,34.282184873949575,124.5889075630252,49.50722689075631,59686.29624943695,9.912050783196616,3,20.2,317.12,0.692,479.066,AI,4,False,False,3,False,False,False,False,False,False,True,False,False,False,12,1.5,179058.88874831086
Luxembourg,2021,Entry,FT,Business Data Analyst,59102,100,L,62.4,40.5,182.5,51.9,134965.815442152,10.987036963527192,1,59.1,947.15,0.78,739.539,Analytics,3,False,True,3,False,False,False,False,False,False,True,False,False,False,3,1.0,404897.44632645603
United States,2021,Mid,FT,Data Engineer,112000,100,L,70.4,41.7,142.3,56.6,71307.4017277218,11.626263078808801,2,112.0,1590.91,0.737,501.106,Engineering,2,False,True,3,False,False,False,False,False,False,False,False,False,True,4,2.0,213922.20518316538
China,2021,Entry,FT,Research Scientist,100000,0,L,31.7,12.3,73.3,22.4,12887.4357242941,11.51293546492023,1,100.0,3154.57,0.549,175.818,Other,0,True,False,3,False,False,False,False,False,False,True,False,False,False,0,0.0,38662.3071728823
Netherlands,2021,Mid,PT,Data Engineer,69741,100,L,63.1,33.5,124.9,48.9,60141.9880911492,11.152557997765097,2,69.7,1105.25,0.685,481.521,Engineering,2,False,True,3,False,False,False,False,False,True,False,False,False,False,4,2.0,180425.9642734476
United States,2021,Senior,CT,Staff Data Scientist,105000,100,M,70.4,41.7,142.3,56.6,71307.4017277218,11.561725152903833,3,105.0,1491.48,0.737,501.106,AI,4,False,True,2,False,False,False,False,False,False,False,False,False,True,12,3.0,142614.8034554436
Czechia,2021,Mid,FT,Research Scientist,69999,50,L,63.606218487394955,34.282184873949575,124.5889075630252,49.50722689075631,27696.4619527544,11.156250521031495,2,70.0,1100.51,0.692,222.303,Other,0,False,False,3,False,False,False,False,False,False,True,False,False,False,0,1.0,83089.3858582632
India,2021,Senior,FT,Data Science Manager,94665,50,L,21.2,5.6,82.6,13.7,2239.61384367482,11.458110186196915,3,94.7,4465.33,0.409,27.114,Management,1,False,False,3,False,False,False,True,False,False,False,False,False,False,3,1.5,6718.84153102446
Slovenia,2021,Senior,FT,Head of Data,102839,100,L,49.9,18.7,80.9,34.9,29187.369382785,11.540929661379826,3,102.8,2060.9,0.536,360.783,Other,0,False,True,3,False,False,False,False,False,False,True,False,False,False,0,3.0,87562.10814835501
United States,2021,Mid,FT,Data Scientist,109000,50,L,70.4,41.7,142.3,56.6,71307.4017277218,11.599112335481124,2,109.0,1548.3,0.737,501.106,AI,4,False,False,3,False,False,False,False,False,False,False,False,False,True,8,1.0,213922.20518316538
